token	token_lc	object_count	facet	section	subcategory	specific	aat_id	source
Aquatint with lithographic crayon on Somerset Satin paper	aquatint with lithographic crayon on somerset satin paper	1	""	Print	Etching & engraving (intaglio)	Aquatint	""	keyword
bobbin & needlepoint laces	bobbin & needlepoint laces	1	""	Other / unclassified	Other / unclassified	Other / unclassified	""	other
diagonal plaiting	diagonal plaiting	1	""	Other / unclassified	Other / unclassified	Other / unclassified	""	other
embroidery (satin and laid stitches)	embroidery (satin and laid stitches)	1	""	Textile	Woven & worked cloth	Woven & worked cloth	""	keyword
Venetian trade beads	venetian trade beads	1	""	Decorative & other materials	Beads, feathers & plant material	Beads, feathers & plant material	""	keyword
Wool or goathair	wool or goathair	1	""	Textile	Natural fiber (silk, wool, cotton)	Wool	""	keyword
four color lithograph on white Pescia paper	four color lithograph on white pescia paper	1	""	Print	Lithographs (planographic)	Lithograph	""	keyword
laser cut steel with silkscreen	laser cut steel with silkscreen	1	""	Print	Screenprints & stencils	Screenprint	""	keyword
wall installation: color drypoint with hand-dropped aquatint	wall installation: color drypoint with hand-dropped aquatint	1	""	Print	Etching & engraving (intaglio)	Mixed / other intaglio	""	keyword
painted white	painted white	1	""	Painting	Other paint	Other paint	""	keyword
astrakan	astrakan	1	""	Other / unclassified	Other / unclassified	Other / unclassified	""	other
photographers stamp and agency label on verso	photographers stamp and agency label on verso	1	""	Photograph	Photograph (unspecified)	Photograph (unspecified)	""	keyword
red chalks	red chalks	1	""	Other / unclassified	Other / unclassified	Other / unclassified	""	other
yellow embroidery	yellow embroidery	1	""	Textile	Textile technique (weaving, embroidery)	Embroidery	""	keyword
White  cotton	white  cotton	1	""	Textile	Natural fiber (silk, wool, cotton)	Cotton	""	keyword
color woodcut printed in 2  colors	color woodcut printed in 2  colors	1	""	Print	Relief prints (woodcut, linocut)	Woodcut	""	keyword
dress: silk satin  veil: tulle	dress: silk satin  veil: tulle	1	""	Textile	Natural fiber (silk, wool, cotton)	Silk	""	keyword
fibre and resin	fibre and resin	1	""	Textile	Other textile	Other textile	""	keyword
book with 1 photographic reproduction of a painting as frontispiece	book with 1 photographic reproduction of a painting as frontispiece	1	""	Photograph	Photograph (unspecified)	Photograph (unspecified)	""	keyword
1 color) on Arches wove paper	1 color) on arches wove paper	1	""	Other / unclassified	Other / unclassified	Other / unclassified	""	other
artificial orange blossoms (h)	artificial orange blossoms (h)	1	""	Other / unclassified	Other / unclassified	Other / unclassified	""	other
and artificial tortoiseshell sticks	and artificial tortoiseshell sticks	1	""	Other / unclassified	Other / unclassified	Other / unclassified	""	other
Wool boucle	wool boucle	1	""	Textile	Natural fiber (silk, wool, cotton)	Wool	""	keyword
1 folded map	1 folded map	1	""	Other / unclassified	Other / unclassified	Other / unclassified	""	other
Etching and aquatint printed in brown ink	etching and aquatint printed in brown ink	1	""	Print	Etching & engraving (intaglio)	Mixed / other intaglio	""	keyword
pen and black  ink with traces of graphite	pen and black  ink with traces of graphite	1	""	Drawing	Ink	Ink (unspecified)	""	keyword
red chalk on pale green wove paper (letterhead of Eothen	red chalk on pale green wove paper (letterhead of eothen	1	""	Drawing	Pencil, chalk & crayon	Chalk	""	keyword
synthetic machine lace with faceted glass beads	synthetic machine lace with faceted glass beads	1	""	Textile	Woven & worked cloth	Woven & worked cloth	""	keyword
enamel and gold metal	enamel and gold metal	1	""	Decorative & other materials	Precious metal (gold, silver)	Gold	""	keyword
Paper assemblage	paper assemblage	1	""	Other / unclassified	Other / unclassified	Other / unclassified	""	other
cork shell	cork shell	1	""	Decorative & other materials	Animal material (ivory, bone, leather)	Shell	""	keyword
alabaster(?) ceramic(?) stone (?)	alabaster(?) ceramic(?) stone (?)	1	""	Ceramic & glass	Other ceramic	Other ceramic	""	keyword
galvanized steel wire mesh	galvanized steel wire mesh	1	""	Decorative & other materials	Base metal (bronze, iron, copper)	Steel	""	keyword
Book with 14 illustrations total: 11 etchings (some with color) on Rives wove paper loose	book with 14 illustrations total: 11 etchings (some with color) on rives wove paper loose	1	""	Print	Etching & engraving (intaglio)	Etching	""	keyword
laminated plywood	laminated plywood	1	""	Other / unclassified	Other / unclassified	Other / unclassified	""	other
whole-plate ambrotype	whole-plate ambrotype	1	""	Photograph	Ambrotype / tintype	Ambrotype / tintype	""	keyword
matching red satin covered slipcase with printing on the front and back	matching red satin covered slipcase with printing on the front and back	1	""	Print	Other print process	Other print process	""	keyword
ivory rivet	ivory rivet	1	""	Decorative & other materials	Animal material (ivory, bone, leather)	Ivory / tusk	""	keyword
color lithographs  on accordion- fold page	color lithographs  on accordion- fold page	1	""	Print	Lithographs (planographic)	Lithograph	""	keyword
metal-wrapped thread embroidery	metal-wrapped thread embroidery	1	""	Textile	Textile technique (weaving, embroidery)	Embroidery	""	keyword
Loose as issued in Montval wrappers	loose as issued in montval wrappers	1	""	Other / unclassified	Other / unclassified	Other / unclassified	""	other
plastic faceted stones in cast	plastic faceted stones in cast	1	""	Sculpture	Cast / modelled	Cast / modelled	""	keyword
and oil on paper	and oil on paper	1	""	Painting	Oil	Oil (other support)	""	keyword
canvas and acrylic mounted in special plexi box	canvas and acrylic mounted in special plexi box	1	""	Painting	Acrylic	Acrylic	""	keyword
Hard ground etching with drypoint and collage	hard ground etching with drypoint and collage	1	""	Print	Etching & engraving (intaglio)	Mixed / other intaglio	""	keyword
and burnishing on paper	and burnishing on paper	1	""	Other / unclassified	Other / unclassified	Other / unclassified	""	other
Etching printed in yellow-brown ink on Rives paper	etching printed in yellow-brown ink on rives paper	1	""	Print	Etching & engraving (intaglio)	Etching	""	keyword
lampas(?)	lampas(?)	1	""	Other / unclassified	Other / unclassified	Other / unclassified	""	other
Crayon and spatter lithograph printed in olive-green	crayon and spatter lithograph printed in olive-green	1	""	Print	Lithographs (planographic)	Lithograph	""	keyword
rectangular bronze medallion	rectangular bronze medallion	1	""	Sculpture	Bronze	Bronze	""	keyword
cotton knit (bouclé)	cotton knit (bouclé)	1	""	Textile	Natural fiber (silk, wool, cotton)	Cotton	""	keyword
altered intaglio	altered intaglio	1	""	Print	Etching & engraving (intaglio)	Mixed / other intaglio	""	keyword
wool needlepoint  and leather	wool needlepoint  and leather	1	""	Textile	Natural fiber (silk, wool, cotton)	Wool	""	keyword
and tortoiseshell sticks	and tortoiseshell sticks	1	""	Other / unclassified	Other / unclassified	Other / unclassified	""	other
Oil on canvas and wood with brass plate	oil on canvas and wood with brass plate	1	""	Painting	Oil	Oil (other support)	""	keyword
plastic faceted beads	plastic faceted beads	1	""	Decorative & other materials	Plastic & synthetic	Plastic & synthetic	""	keyword
photograph with hand coloring	photograph with hand coloring	1	""	Photograph	Photograph (unspecified)	Photograph (unspecified)	""	keyword
book with 9 color aquatints with additional  hand coloring	book with 9 color aquatints with additional  hand coloring	1	""	Print	Etching & engraving (intaglio)	Aquatint	""	keyword
machine embroidered acetate ribbons	machine embroidered acetate ribbons	1	""	Textile	Textile technique (weaving, embroidery)	Embroidery	""	keyword
2 reverse twill (top	2 reverse twill (top	1	""	Other / unclassified	Other / unclassified	Other / unclassified	""	other
Linen and gesso	linen and gesso	1	""	Textile	Natural fiber (silk, wool, cotton)	Linen	""	keyword
gilded paper and silk	gilded paper and silk	1	""	Textile	Natural fiber (silk, wool, cotton)	Silk	""	keyword
Seven color woodcuts with hand painted border in a portfolio designed by the artist	seven color woodcuts with hand painted border in a portfolio designed by the artist	1	""	Print	Relief prints (woodcut, linocut)	Woodcut	""	keyword
Stenciled watercolor with pen and ink	stenciled watercolor with pen and ink	1	""	Print	Screenprints & stencils	Stencil	""	keyword
sticks and guards with opaque watercolor	sticks and guards with opaque watercolor	1	""	Painting	Gouache / opaque watercolor	Gouache / opaque watercolor	""	keyword
White brocaded silk	white brocaded silk	1	""	Textile	Natural fiber (silk, wool, cotton)	Silk	""	keyword
elk skin	elk skin	1	""	Other / unclassified	Other / unclassified	Other / unclassified	""	other
etching and sandpaper	etching and sandpaper	1	""	Print	Etching & engraving (intaglio)	Etching	""	keyword
4 reproductions of aquatints from La Barre d'appui on Pannekoek Holland paper	4 reproductions of aquatints from la barre d'appui on pannekoek holland paper	1	""	Print	Etching & engraving (intaglio)	Aquatint	""	keyword
Honiton lace and linen	honiton lace and linen	1	""	Textile	Natural fiber (silk, wool, cotton)	Linen	""	keyword
satin piping	satin piping	1	""	Textile	Woven & worked cloth	Woven & worked cloth	""	keyword
machine embroidery (satin stitch)	machine embroidery (satin stitch)	1	""	Textile	Woven & worked cloth	Woven & worked cloth	""	keyword
Color aquatint with resist	color aquatint with resist	1	""	Print	Etching & engraving (intaglio)	Aquatint	""	keyword
animal horn (goat or deer)	animal horn (goat or deer)	1	""	Decorative & other materials	Animal material (ivory, bone, leather)	Bone / antler / horn	""	keyword
pen and purple nk on paper	pen and purple nk on paper	1	""	Drawing	Ink	Other ink	""	keyword
faux leopard snakeskin	faux leopard snakeskin	1	""	Other / unclassified	Other / unclassified	Other / unclassified	""	other
Fiber - bark fiber - bast fiber	fiber - bark fiber - bast fiber	1	""	Textile	Other textile	Other textile	""	keyword
Cotton plain weave with cotton embroidery (cross-stitch)	cotton plain weave with cotton embroidery (cross-stitch)	1	""	Textile	Natural fiber (silk, wool, cotton)	Cotton	""	keyword
press wire photograph	press wire photograph	1	""	Photograph	Photograph (unspecified)	Photograph (unspecified)	""	keyword
r: Pen and brown and gray inks	r: pen and brown and gray inks	1	""	Drawing	Ink	Other ink	""	keyword
and turkey work stitches)	and turkey work stitches)	1	""	Other / unclassified	Other / unclassified	Other / unclassified	""	other
maiolica	maiolica	1	""	Other / unclassified	Other / unclassified	Other / unclassified	""	other
elk antler and cowhide	elk antler and cowhide	1	""	Other / unclassified	Other / unclassified	Other / unclassified	""	other
weft	weft	1	""	Textile	Other textile	Other textile	""	keyword
glass seed beads sewn to leather hide	glass seed beads sewn to leather hide	1	""	Ceramic & glass	Glass	Glass (unspecified)	""	keyword
Color aquatint and hard ground etching on Rives BFK paper	color aquatint and hard ground etching on rives bfk paper	1	""	Print	Etching & engraving (intaglio)	Mixed / other intaglio	""	keyword
Woven canvas on wooden stretcher	woven canvas on wooden stretcher	1	""	Textile	Textile technique (weaving, embroidery)	Weaving	""	keyword
aquatint and etching (hand-colored)	aquatint and etching (hand-colored)	1	""	Print	Etching & engraving (intaglio)	Mixed / other intaglio	""	keyword
Silk satin and gros de Tours	silk satin and gros de tours	1	""	Textile	Natural fiber (silk, wool, cotton)	Silk	""	keyword
portfolio of 11 intaglio images with embossing on Fabriano paper	portfolio of 11 intaglio images with embossing on fabriano paper	1	""	Print	Etching & engraving (intaglio)	Mixed / other intaglio	""	keyword
watercolor and pen & ink on stationery of the family	watercolor and pen & ink on stationery of the family	1	""	Drawing	Ink	Ink (unspecified)	""	keyword
book with 6 color wood engravings and printed paper cover	book with 6 color wood engravings and printed paper cover	1	""	Print	Relief prints (woodcut, linocut)	Wood engraving	""	keyword
pen and black ink on hotel letterhead	pen and black ink on hotel letterhead	1	""	Drawing	Ink	Other ink	""	keyword
spit bite and soap ground aquatints	spit bite and soap ground aquatints	1	""	Print	Etching & engraving (intaglio)	Aquatint	""	keyword
artificial rose	artificial rose	1	""	Other / unclassified	Other / unclassified	Other / unclassified	""	other
